,index,title,href,body,date
190,190,"Ni Andrawida on Twitter: ""Ganjar merupakan sosok pemimpin ideal yang ...",https://twitter.com/AndrawidaNi/status/1635913130357456896,"""Ganjar merupakan sosok pemimpin ideal yang sesuai dengan pancasila artinya selalu menjalin kesatuan dan persatuan bangsa #aespa Pempek Hambalang 전두환 손자 마시멜로 파이데이 대체공휴일 클튜 2.0 Assault 경상남도 田中秀和 中村航輔 反対デモ 少数意見 相席食堂 #サッカー日本代表""",3/15/2023
191,191,"Menurut hasil survei Litbang Kompas Januari 2023, potensi elektabilitas ...",https://twitter.com/kompascom/status/1636289986348851201,"Menurut hasil survei Litbang Kompas Januari 2023, potensi elektabilitas Ganjar mencapai 25,3-37 persen. 16 Mar 2023 08:55:08",3/16/2023
192,192,FH Ungkap Sosok Pemersatu Indonesia Setelah Jokowi Lengser ... - Twitter,https://twitter.com/keuangannews_id/status/1636506681084624897,"FH Ungkap Sosok Pemersatu Indonesia Setelah Jokowi Lengser: Bukan Ganjar, Apalagi Anies 16 Mar 2023 23:16:12 Keuangan News on Twitter: ""FH Ungkap Sosok Pemersatu Indonesia Setelah Jokowi Lengser: Bukan Ganjar, Apalagi Anies""",3/16/2023
193,193,"YONGHA on Twitter: ""Pak Ganjar, banyak blundernya. Kang Emil, juga. Pak ...",https://twitter.com/piokharisma/status/1636359115181293570,"Pak Ganjar, banyak blundernya. Kang Emil, juga. Pak Anies, ga jauh beda. Hanya tokoh sayap kiri yang cocok tampil sebagai pemimpin Indonesia. Sayangnya, ga orang kiri yg mau nekat. 16 Mar 2023 13:29:49",3/16/2023
194,194,"Promosikan Ganjar Capres di Sumsel, Relawan: Pemimpin RI 2024 ... - Twitter",https://twitter.com/VIVAcoid/status/1636467266190733312,"Promosikan Ganjar Capres di Sumsel, Relawan: Pemimpin RI 2024 Setelah Jokowi. 16 Mar 2023 20:39:35. Promosikan Ganjar Capres di Sumsel, Relawan: Pemimpin RI 2024 Setelah Jokowi. 16 Mar 2023 20:39:35 ...",3/16/2023
195,195,"Chusnul ch💞timah on Twitter: ""Kalo Ganjar - Erick Thohir, berarti ...",https://twitter.com/ch_chotimah2/status/1636559258442682368,"Kalo Ganjar - Erick Thohir, berarti pilpres 2019 terulang lg. Dan insyaAllah menang telak lagi. Elektabilitas di Atas Khofifah Hingga Cak Imin, Erick Thohir Cawapres Potensial NU.",3/17/2023
196,196,"Indah Begitu Indah on Twitter: ""Dibawah Kepemimpinan Pak Ganjar Pranowo ...",https://twitter.com/TracyPedas/status/1636675910157107200,"Dibawah Kepemimpinan Pak Ganjar Pranowo 35 Kabupaten/ Kota di Jawa Tengah raih Opini WTP dari BPK. Keren memang Pak Ganjar Pemimpin yg cerdas, jujur, amanah dan sosok panutan ️ #GANTARI 🇮🇩 17 Mar 2023 10:28:39",3/17/2023
197,197,"Chusnul ch💞timah on Twitter: ""Relawan Ganjar konsisten promosikan orang ...",https://twitter.com/ch_chotimah2/status/1636710275914280961,"Relawan Ganjar konsisten promosikan orang baik dgn cara yg baik.💞 Promosikan Ganjar Capres di Sumsel, Relawan: Pemimpin RI 2024 Setelah Jokowi. 17 Mar 2023 12:45:13",3/17/2023
198,198,"gigin praginanto on Twitter: ""Orang ini Sekjen PDIP merangkap corong ...",https://twitter.com/giginpraginanto/status/1636663751389880320,Sign up. See new Tweets,3/17/2023
199,199,"WIBISANA on Twitter: ""timbul ide .. next 2024 gk usah pemilu ...",https://twitter.com/NogoSosroAsli/status/1637032637448736768,timbul ide .. next 2024 gk usah pemilu .. kumpulin saja calon pemimpin indonesia. capres cawapres atau salah satu dr wakil kelompok.. jika org tsb berhasil mencabut .. dia lah pemimpin Nusantara . hemat biaya pemilu toh ..🙂🙂👍 . 18 Mar 2023 10:06:10,3/18/2023
