,title,url,description
60,"SINDOnews on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu ...",https://www.instagram.com/p/Crdd3VRS23h/,"1,702 likes, 314 comments - SINDOnews (@sindonews) on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu Lanjutkan Pembangunan Jokowi https://bit.ly/3oICs81 Mun..."" SINDOnews on Instagram: ""Pilpres 2024, Ganjar-Erick Dinilai Mampu Lanjutkan Pembangunan Jokowi https://bit.ly/3oICs81 Muncul wacana pasangan capres Ganjar Pranowo dan cawapres ...",
61,"Asiabusinessinfo.com on Instagram: ""@ganjar_pranowo Jadi Capres ...",https://www.instagram.com/p/CrTJPRvL3_l/,"4 likes, 0 comments - Asiabusinessinfo.com (@abimagazine) on Instagram: ""@ganjar_pranowo Jadi Capres @pdiperjuangan , @jokowi : Ganjar Pemimpin yang Dekat dengan Rakyat ...",
62,"officialinews on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari ...",https://www.instagram.com/p/CrS42eJPCxd/,"3,172 likes, 793 comments - officialinews (@officialinewstv) on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari penetapan Ganjar Pranowo sebagai calon presiden 2024 d..."" officialinews on Instagram: ""Presiden Joko Widodo (Jokowi) mengomentari penetapan Ganjar Pranowo sebagai calon presiden 2024 dari PDIP.",
63,Lead The Fest (@leadthefest) • Instagram photos and videos,https://www.instagram.com/leadthefest/,"90.1k Followers, 90 Following, 663 Posts - See Instagram photos and videos from Lead The Fest (@leadthefest)",
64,"Anggita Ciptasari on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr0cIEIj/,"39 likes, 1 comments - • Anggita Ciptasari (@anggitaciptasari3) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama ...",
65,"Weny Nistiyana on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar ...",https://www.instagram.com/p/CrSOr_KoyuX/,"11 likes, 0 comments - Weny Nistiyana (@wenynistiyana5) on Instagram: ""Menjelang Pilpres 2024, Duet Ganjar Pranowo - Erick Thohir jadi Pilihan Utama Masyarakat Ganjar",
66,"RUMAH KITA JATIM on Instagram: ""Presiden partai buruh Said Iqbal ...",https://www.instagram.com/p/CrV5AIzpR0k/,"156 likes, 8 comments - RUMAH KITA JATIM (@ganjarpranowo_fc) on Instagram: ""Presiden partai buruh Said Iqbal menanggapi pengusungan Ganjar Pranowo sebagai bakal calon presid..."" RUMAH KITA JATIM 🇮🇩 on Instagram: ""Presiden partai buruh Said Iqbal menanggapi pengusungan Ganjar Pranowo sebagai bakal calon presiden (bacapres) dari PDI ...",
67,"Ganjar Pranowo RI 1 2024 on Instagram: ""Reposted from @infocianjur Dua ...",https://www.instagram.com/p/CPpQuKnHu96/,"June 2, 2021 - 112 likes, 22 comments - Ganjar Pranowo RI 1 2024 (@ganjar_pranowo2024) on Instagram: ""Reposted from @infocianjur Dua nama ini @ganjar_pranowo dan Kang @ridwankamil selalu menjadi buah ...",
68,"Radar Bali Official on Instagram: """"Ganjar Presidenku, Ganjar Presiden ...",https://www.instagram.com/p/Crn5TqIPHxb/,"April 29, 2023 - 19 likes, 0 comments - Radar Bali Official (@radar.bali) on Instagram: """"Ganjar Presidenku, Ganjar Presiden Indonesia, Ganjar menang, menang, menang,"" teriak pengusa ...",
69,"GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo ...",https://www.instagram.com/p/CrS0gnkuyKp/,"11 likes, 0 comments - GanjarKu (@ganjar_ku) on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat. Menurut Joko..."" GanjarKu on Instagram: ""Presiden Joko Widodo menyebut Ganjar Pranowo sebagai sosok yang dekat dengan rakyat.",
